Date,Grade,Rope,Attempt,Colour,Location,Wall,Notes
2018-01-14,10b,TR,RP,Green,TRC MV,Back Corner Arete,Slab in Majorca -- at last.  Changed shoes to Mythos and stuck the slab move
2018-01-14,10b,TR,RE,Yellow,TRC MV,Back Alley Overhang,Overhanging upstairs
2018-01-16,8,L,RP,Black,TRC MV,Prow,Warm up lap
2018-01-16,9,L,F,Yellow,TRC MV,Lead Cave,Got too much beta to claim OS.
2018-01-16,10b,L,RP,Orange,TRC MV,Horseshoe Left,Might have claimed this as 10c on TR.  FELT EASY today on lead!
2018-01-16,10b,L,RP,Pink,TRC MV,Prow,FELT EASY!
2018-01-16,10a,TR,OS,Yellow,TRC MV,Back Corner,"Holy cow, felt like a 10+.  Stemming."
2018-01-16,9+,TR,X,Red,TRC MV,Back Corner,"9+, felt like a 10. Right arm hurt; gave up before I hurt it worse"
2018-01-16,7,TR,RE,Green,TRC MV,Horseshoe Back,Cool-down
2018-01-19,9,TR,RE,Black,TRC MV,Horseshoe Back,Warm up
2018-01-19,10b,TR,RE,Yellow,TRC MV,Horseshoe Right,Drop-knee - demo of crux for Mary
2018-01-19,10c,TR,H1,Red,TRC MV,Horseshoe Rear,Low percentage crux move at top.  Got it on second attempt.
2018-01-19,10d,TR,H5,Blue,TRC MV,Reactor,Loved the route - very pumpy.  Good project.
2018-01-19,9+,TR,H1,Red,TRC MV,Back Corner Edge,"Low percentage, balanced crux.  9+ climbs more like a 10."
2018-01-19,11c,TR,X,Black,TRC MV,Horseshoe Rear,Got 2/3 of the way up.  Falls galore.
2018-01-19,10d,TR,H2 A1,Blue,TRC MV,Reactor,"Tried again, aided the crux move, got the rest with fewer falls"
2018-01-21,8,L,F,Yellow,Cliff Hangars,Arch,Cliff Hangars today - warmup
2018-01-21,9,L,F,Yellow,Cliff Hangars,Arch,
2018-01-21,9,L,F,Red,Cliff Hangars,Arch,
2018-01-21,8,L,H1,Blue,Cliff Hangars,Lead wall right,"HARD second clip, hung to reset brain and go back to clip"
2018-01-21,9,L,OS,Green,Cliff Hangars,Lead wall left,
2018-01-21,10b,L,RP,Orange,Cliff Hangars,Facing Cafe,
2018-01-21,11c,TR,H4 A1,Pink,Cliff Hangars,Arch,
2018-01-21,8,L,OS,Pink,Cliff Hangars,Arch,
2018-01-21,11a,TR,OS,Yellow,Cliff Hangars,Arete,
2018-01-21,10b,TR,H1,Yellow,Cliff Hangars,Back Wall,
2018-01-21,10c,TR,H4,Purple,Cliff Hangars,Facing Cafe,
2018-01-24,7,TR,DC,Pink,TRC MV,Reactor,
2018-01-24,9,TR,X,Black,TRC MV,Right of Reactor,"JP - fell, hurt my knee."
2018-01-24,9,TR,X,Black,TRC MV,Right of Reactor,"Tried again, fell again, hurt my knee again"
2018-01-24,10d,TR,H2,Blue,TRC MV,Reactor,Very close to sending
2018-01-24,9+,TR,H1,Red,TRC MV,Back Alley,Fell at crux move again
2018-01-24,9+,TR,RE,Red,TRC MV,Back Alley,
2018-01-24,10b,TR,RP,Yellow,TRC MV,Back Alley Arete,Hard foot switch on exposed arete
2018-01-24,10c,TR,RP,Black,TRC MV,Back Alley,Very strenuous moves
2018-01-24,10b,TR,RE,Orange,TRC MV,Horseshoe Left,Overhanging - pumpy
2018-01-24,11c,TR,X,Black,TRC MV,Horseshoe,Short attempt
2018-01-24,7,TR,RE,Yellow,TRC MV,Horseshoe,
2018-01-24,7,TR,DC,Green,TRC MV,Horseshoe Left,With downclimb for mileage
2018-01-24,6,TR,DC,Blue,TRC MV,Horseshoe Right,With downclimb for mileage
2018-01-25,8,TR,OS,Black,TRC MV,Horseshoe Right,Strenuous warm-up
2018-01-25,9,TR,OS,Red,TRC MV,Horseshoe,Felt easier
2018-01-25,10c,TR,OS,Pink,TRC MV,Horseshoe,Felt tricky
2018-01-25,11c,TR,X,Green,TRC MV,Horseshoe,"Banged my knee again, hurting it"
2018-01-25,10d,TR,H1,Blue,TRC MV,Reactor,I think I just fell once; but could have been twice?
2018-01-25,5,TR,OS,Yellow,TRC MV,Right of Reactor,Climbed up ...
2018-01-25,5,TR,DC,Yellow,TRC MV,Right of Reactor,Needed to succeed at something - onsight downclimb
2018-01-25,10a,TR,Hn,Black,TRC MV,Back Alley,"Holy cow, this is hard.  Greased up, and a huge JP struggle."
2018-01-25,10c,TR,H1,Purple,TRC MV,Prow,Still falling at the crux roof
2018-01-25,9,L,H1,Yellow,TRC MV,Lead Wall,Hung once - had a swinging fall risk at the crux that would have me hit a kid
2018-01-25,10c,TR,OS,Pink,TRC MV,Lead Wall,Seconded - the highlight of my night.  Might be able to go lead it.
2018-01-25,11c,TR,X,Blue,TRC MV,Lead Wall,Seconded - got partway up and felt dizzy so quit and lowered.
2018-01-28,8,L,RE,Black,TRC MV,Prow,
2018-01-28,9-,L,H1,Pink,TRC MV,Pumpy - fumbled an early clip multiple times so hung to recover,
2018-01-28,9-,L,RP,Pink,TRC MV,Pumpy,
2018-01-28,9,L,RE,Yellow,TRC MV,Cruxy lip,
2018-01-28,10d,TR,A1,Orange,TRC MV,Need to rework lower section,
2018-01-28,6,TR,RE,Green,TRC MV,Speed climb,
2018-01-30,9,TR,RE,Red,TRC MV,Horseshoe Rear,Warm-up on 9
2018-01-30,10c,TR,RP,Red,TRC MV,Horseshoe Rear,"Hard, long-throw crux at top"
2018-01-30,10d,TR,H1,Orange,TRC MV,Horseshoe Rear,Fell at lower crux
2018-01-30,10d,TR,RP,Orange,TRC MV,Horseshoe Rear,Redpoint at last!  Third attempt total.
2018-01-30,10d,TR,H3,Blue,TRC MV,Reactor Wall,Fell at lower crux again
2018-01-30,11b,TR,H2,Red,TRC MV,Right of lead,Fell twice at same point in midcrux
2018-01-30,11c,TR,H1 A1,Purple,TRC MV,Horseshoe,Still have to aid through crux
2018-01-30,9,TR,RE,Black,TRC MV,Horseshoe Rear,Cool down
2018-02-01,8,TR,RE,Black,TRC MV,Horseshoe Right,Warm-up
2018-02-01,9,TR,OS,Orange,TRC MV,Horseshoe Right,"I ""downclimbed"" the first move a few times before getting it clean to the top"
2018-02-01,11a,TR,H3,Green,TRC MV,Desk area,Hard crux
2018-02-01,10d,TR,H2,Blue,TRC MV,Reactor,Still hard - still my project
2018-02-01,10d,TR,H3,Blue,TRC MV,Reactor,Fell in different places
2018-02-01,11b,TR,H1,Red,TRC MV,Right of lead,Fell once at the crux again
2018-02-01,11d,TR,X,Blue,TRC MV,Prow,Top panel feels impossible.  Lower 2/3 is doable with work.
2018-02-01,9,TR,RE,Red,TRC MV,Horseshoe Rear,Cool down
2018-02-04,7,TR,RE,Green,TRC MV,Reactor,Easy warmup
2018-02-04,10a,L,H3,Pink,TRC MV,Prow,"New route - onsight attempt.  Two takes, one slip and fall."
2018-02-04,8,L,OS,Blue,TRC MV,Right of lead,Lots of attention paid to making better clips
2018-02-04,11a,TR,H2,Green,TRC MV,Desk area,Still fell at the crux
2018-02-04,9,TR,RE,Orange,TRC MV,Horseshoe Right,Felt hard
2018-02-04,10c,TR,RP,White,TRC MV,Prow,Finally got the redpoint after a long time
2018-02-04,11a,TR,H5A3,Blue,TRC MV,Prow,"Got to the stop, with falls and aids"
2018-02-06,7,L,OS,Yellow,TRC MV,Back Corner,Delicate traverse
2018-02-06,8,L,RE,Blue,TRC MV,Right of lead,Repeat - paid attention to clip stances and heights
2018-02-06,10b,L,H3,Pink,TRC MV,Horseshoe Rear,"Got sketched, and hung a few times before finding committment"
2018-02-06,10a,L,Hx,Pink,TRC MV,Prow,Went back on lead; took and hung MANY times trying to find beta!
2018-02-06,10a,L,RP,Pink,TRC MV,Prow,Found the beta - got the clean send!
2018-02-06,10b,L,RP,Pink,TRC MV,Horseshoe Rear,Went back with committment and got the send
2018-02-06,10b,TR,OS,Black,TRC MV,Right of Reactor,Crimpy! One of the new routes that went up where my 10+ proj was
2018-02-06,8,L,OS,Green,TRC MV,Back Corner,Stemming - looked sketchier than it was. Actually 8-.
2018-02-06,11b,TR,H3,Red,TRC MV,Right of lead,So exhausted - fell twice or three times at the crux
2018-02-06,9,TR,OS,Blue,TRC MV,Right of Reactor,Onsight of the other new route
2018-02-08,8+,TR,OS,?,TRC MV,Rear Wall,Onsight warmup
2018-02-08,10a,TR,OS,Black,TRC MV,Rear Wall,Crimpy and mentally challenging
2018-02-08,10a,TR,OS,Black,TRC MV,Rear Wall,Easier than the other - more physical than mental
2018-02-08,10c,TR,X,Yellow,TRC MV,Rear Wall,HARD.  JP route.  Tweaked my finger early and abandoned.
2018-02-08,11a,TR,X,Green,TRC MV,Desk area,Got to the roof easily.  Abandoned at the crux.
2018-02-08,11c,TR,X,Pink,TRC MV,Rear Wall,So strenuous.  Really overloaded my shoulder - abandoned.
2018-02-08,9,TR,RP,Black,TRC MV,Right of Reactor,"Went back to the black that hurt my knee.  Got it easily, but with strenuous opening move."
2018-02-08,10c,TR,RP,Yellow,TRC MV,Rear Wall,Went back to it.  Hard moves.  Very hard.  Fought for the send.
2018-02-08,11c,TR,X,Pink,TRC MV,Rear Wall,Went back to it!  Got more early moves.  Top is too crimpy to make a reasonable project.
2018-02-08,10b,TR,RE,Pink,TRC MV,Prow,Felt easy - ran up the easy pink for mileage
2018-02-08,9,TR,RE,Orange,TRC MV,Horseshoe Right,Cool down
2018-02-10,9-,TR,OS,Blue,TRC NR,Back Right,Warm-up
2018-02-10,9+,TR,F,Yellow,TRC NR,Back Right,Needed mantle beta to make a low move
2018-02-10,10a,TR,H1,Red,TRC NR,Back Right,JP route - misread and fell
2018-02-10,10a,TR,RP,Red,TRC NR,Back Right,Got straight back on for the send
2018-02-10,10c,TR,H1,Black,TRC NR,Back Right,"Hard move, lost my nerve but it went"
2018-02-10,10c,TR,X,Black,TRC NR,Back Right,"Went back to it, but abandoned at the bottom - feet too slippery"
2018-02-10,9+,TR,X,Yellow,TRC NR,Boot,"Shane led it, I seconded, abandoned at the roof"
2018-02-10,9,TR,X,Orange,TRC NR,Boot Left,"Shane led, I seconded, abandoned another route at the roof/last move"
2018-02-10,9-,L,RP,Blue,TRC NR,Back Right,"Went back to the warm up route, led it cleanly"
2018-02-10,8,L,H1,Green,TRC NR,Back Right,Hung at second clip - move looked tenuous that low down
2018-02-10,10c,TR,OS,Blue,TRC NR,Back Left,"Thin moves, hard sequence, fought for the onsight"
2018-02-10,11a,TR,X,Yellow,TRC NR,Back Right,Moves off the ground just too hard - abandoned
2018-02-10,11a,TR,X,Red,TRC NR,Back Left,IFSC Style.  Too hard to swing legs over - abandoned again!
2018-02-10,10b,TR,RP,Orange,TRC NR,Tower Front,"Went up, misread and fell early so lowered and went back for the redpoint"
2018-02-10,10a,TR,OS,Black,TRC NR,Back Left,"Burly, but easy read for the onsight"
2018-02-10,10b,TR,OS,Yellow,TRC NR,Prow,Easy sequences except one hard move near the top.
2018-02-10,8,L,H1,Blue,TRC NR,Tower,Slippery hold at the top caused mental fatigue; rested and reset and moved through it
